,url_link,title,published_date,data
0,https://www.homeaffairs.gov.au/reports-and-publications/submissions-and-discussion-papers/2023-2030-australian-cyber-security-strategy-discussion-paper,2023-2030 Australian Cyber Security Strategy Discussion Paper,20/03/2023,"Submissions and discussion papers 2023-2030 Australian Cyber Security Strategy Discussion Paper Multicultural Framework Review  Terms of Reference (draft) Request for Feedback  Adult Migrant English Program future settings Request for Expression of Interest for the selection of English language tests for Australian visas Australia's Humanitarian Program 2022-23 Tablet press and encapsulator import control Next Steps to improve Australias settlement and integration of refugees Data Security Security Legislation Amendment (Critical Infrastructure Protection) Bill 2022 Exposure Draft Transport Security Amendment (Critical Infrastructure) Bill 2022 Exposure Draft Migration Amendment (Protecting Migrant Workers) Bill 2021 Exposure Draft Customs Amendment (Controlled Trials) Bill 2021 Strengthening Australias cyber security regulations and incentives Reform of the Adult Migrant English Program (AMEP) Australia's Humanitarian Program 2021-22 Engagement on critical infrastructure reforms Critical Technology Supply Chain Principles Protecting critical infrastructure and systems of national significance Creating a world class migration advice industry Business Innovation and Investment Program: Getting a better deal for Australia Voluntary Code of Practice Australias 2020 Cyber Security Strategy Australias Humanitarian Program 2019-20 Introducing a temporary visa for parents Review of customs licensing regimes Review of national arrangements for the protection and management of identity information Review of the Skilled Migration and Temporary Activity visa program discussion paper Strengthening the test for Australian Citizenship Tablet press import control Migrations agents instruments review report 2023-2030 Australian Cyber Security Strategy Discussion Paper On 8 December 2022, the Minister for Cyber Security, the Hon. Clare ONeil MP, announced the development of the 2023-2030 Australian Cyber Security Strategy (the Strategy). The Minister has appointed an Expert Advisory Board to advise on the development of the Strategy. The Government is developing cyber security policy and initiatives under four key areas:  A secure economy and thriving cyber ecosystem A secure and resilient critical infrastructure and government sector A sovereign and assured capability to counter cyber threats Australia as a trusted and influential global cyber leader, working in partnership with our neighbours to lift cyber security and build a cyber resilient region Discussion paper and submissions The Expert Advisory Board has released a discussion paper seeking your views on how Government can achieve its vision under the 2023-2030 Australian Cyber Security Strategy: 2023-2030 Australian Cyber Security Strategy Discussion Paper (2MB PDF) We want to hear from you. We welcome your views and invite you to make a submission via the webform. Submissions close on 15 April 2023. More Information For further information, email us at auscyberstrategy@homeaffairs.gov.au"
1,https://www.industry.gov.au/news/upskilling-and-diversifying-australias-cyber-security-workforce,Upskilling and diversifying Australia’s cyber security workforce,25/11/2022,"The second round of Cyber Security Skills Partnership Innovation Fund grant recipients will grow the cyber security workforce and address barriers to entry.Up to $25.4 million has been awarded to 18 projects to improve the quality, quantity and diversity of Australias cyber security workforce.This is the second round of the $70 million Cyber Security Skills Partnership Innovation Fund. After funding 8 successful grantees in round 1, the programs guidelines were revised for round 2. The revised guidelines prioritise increasing the diversity of the cyber security workforce."
2,https://www.cyber.gov.au/about-us/news/joint-guide-cybersecurity-best-practices-smart-cities,Joint guide for cybersecurity best practices for Smart Cities,27/10/2022,"Breadcrumb Home About us Joint guide for cybersecurity best practices for Smart CitiesJoint guide for cybersecurity best practices for Smart CitiesFirst published: 20 Apr 2023 Last updated: 20 Apr 2023 Content written for Small & medium business Large organisations & infrastructure Government Share on Smart city technologies present fantastic opportunities for more innovative and sustainable communities, but they also introduce risks to our security and critical infrastructure. The Cybersecurity Best Practices for Smart Cities guide has been released in collaboration with our international cyber security partners. Smart cities can create safer, more efficient, more resilient communities through technological innovation and data-driven decision making. However, this opportunity also introduces potential vulnerabilities that are an attractive target for criminals and cyber threat actors. Communities and organisations implementing smart city technologies should account for these potential vulnerabilities as part of their overall risk management approach. This guide provides three recommendations for communities and organisations looking to implement smart city technologies: secure planning and design, proactive supply chain risk management, and operational resilience. Several specific strategies for secure planning and design are provided, to include enforcing multi-factor authentication, implementing zero trust architecture, protecting internet-facing services, and patching systems and applications in a timely manner. Proactive supply chain risk management recommendations include setting clear requirements for software, hardware, and Internet-of-Things (IoT) supply chains, and carefully reviewing agreements with third-party vendors, such as managed service providers and cloud service providers. In the event of a compromise, operational resilience strategies, such as workforce training and incident response and recovery plans, can prepare organisations to isolate affected systems and operate infrastructure with as little disruption as possible. Find out more about this important joint initiative and read the full guide.Report a cyber security incident for critical infrastructure Get alerts on new threats Alert Service Become an ACSC Partner Report a cybercrime or cyber security incidentAcknowledgement of Country We acknowledge the Traditional Owners and Custodians of Country throughout Australia and their continuing connections to land, sea and communities. We pay our respects to them, their cultures and their Elders; past, present and emerging. We also recognise Australia's First Peoples' enduring contribution to Australia's national security."
3,https://www.homeaffairs.gov.au/reports-and-publications/submissions-and-discussion-papers/exposure-draft-transport-security-amendment-critical-infrastructure-bill-2021,Exposure Draft Transport Security Amendment (Critical Infrastructure) Bill 2022,09/02/2022,"Submissions and discussion papers 2023-2030 Australian Cyber Security Strategy Discussion Paper Multicultural Framework Review  Terms of Reference (draft) Request for Feedback  Adult Migrant English Program future settings Request for Expression of Interest for the selection of English language tests for Australian visas Australia's Humanitarian Program 2022-23 Tablet press and encapsulator import control Next Steps to improve Australias settlement and integration of refugees Data Security Security Legislation Amendment (Critical Infrastructure Protection) Bill 2022 Exposure Draft Transport Security Amendment (Critical Infrastructure) Bill 2022 Exposure Draft Migration Amendment (Protecting Migrant Workers) Bill 2021 Exposure Draft Customs Amendment (Controlled Trials) Bill 2021 Strengthening Australias cyber security regulations and incentives Reform of the Adult Migrant English Program (AMEP) Australia's Humanitarian Program 2021-22 Engagement on critical infrastructure reforms Critical Technology Supply Chain Principles Protecting critical infrastructure and systems of national significance Creating a world class migration advice industry Business Innovation and Investment Program: Getting a better deal for Australia Voluntary Code of Practice Australias 2020 Cyber Security Strategy Australias Humanitarian Program 2019-20 Introducing a temporary visa for parents Review of customs licensing regimes Review of national arrangements for the protection and management of identity information Review of the Skilled Migration and Temporary Activity visa program discussion paper Strengthening the test for Australian Citizenship Tablet press import control Migrations agents instruments review report Exposure Draft Transport Security Amendment (Critical Infrastructure) Bill 2022 The Department is proposing a number of legislative reforms to the Aviation Transport Security Act 2004 (ATSA) and the Maritime Transport and Offshore Facilities Security Act 2003 (MTOFSA). The proposed reforms will implement an enhanced critical infrastructure security regulatory regime for the aviation and maritime transport sectors. The proposed amendments to the ATSA and MTOFSA are captured in the Transport Security Amendment (Critical Infrastructure) Bill 2022 (TSACI Bill). The TSACI Bill seeks to transition the regulatory framework for the aviation and maritime transport sectors from a focus on unlawful interference (terrorism) to encompass an enhanced all hazards regulatory framework. The enhanced all hazards regulatory framework will encompass any threat that could impact on the confidentiality, integrity, availability, or reliability of an industry participants operations. This forms part of the Australian Governments critical infrastructure reforms and will support a general uplift in security and resilience across the Australian economy. The Department released an Exposure Draft TSACI Bill (989KB PDF), and accompanying Guide to the Bill (625KB PDF), on Wednesday 15 December 2021 for public consultation. Public submissions on the Exposure Draft TSACI Bill were accepted by the Department until Tuesday 1 February 2022. Please refer to the aviation and maritime critical infrastructure reforms page for more information on the TSACI Bill and the reforms. Please reach out to amcir@homeaffairs.gov.au if you have any questions."
4,https://www.homeaffairs.gov.au/reports-and-publications/submissions-and-discussion-papers/cyber-security-strategy-2020,Discussion paper - 2020 Cyber Security Strategy,21/07/2020,"Submissions and discussion papers 2023-2030 Australian Cyber Security Strategy Discussion Paper Multicultural Framework Review  Terms of Reference (draft) Request for Feedback  Adult Migrant English Program future settings Request for Expression of Interest for the selection of English language tests for Australian visas Australia's Humanitarian Program 2022-23 Tablet press and encapsulator import control Next Steps to improve Australias settlement and integration of refugees Data Security Security Legislation Amendment (Critical Infrastructure Protection) Bill 2022 Exposure Draft Transport Security Amendment (Critical Infrastructure) Bill 2022 Exposure Draft Migration Amendment (Protecting Migrant Workers) Bill 2021 Exposure Draft Customs Amendment (Controlled Trials) Bill 2021 Strengthening Australias cyber security regulations and incentives Reform of the Adult Migrant English Program (AMEP) Australia's Humanitarian Program 2021-22 Engagement on critical infrastructure reforms Critical Technology Supply Chain Principles Protecting critical infrastructure and systems of national significance Creating a world class migration advice industry Business Innovation and Investment Program: Getting a better deal for Australia Voluntary Code of Practice Australias 2020 Cyber Security Strategy Australias Humanitarian Program 2019-20 Introducing a temporary visa for parents Review of customs licensing regimes Review of national arrangements for the protection and management of identity information Review of the Skilled Migration and Temporary Activity visa program discussion paper Strengthening the test for Australian Citizenship Tablet press import control Migrations agents instruments review report Discussion paper - 2020 Cyber Security Strategy As part of the development of the 2020 Cyber Security Strategy, we travelled across the country to seek views on the steps we should take to improve the cyber security of Australian citizens, community groups and businesses.  Consultation included the release of Australia's 2020 Cyber Security Strategy discussion paper. In response to the discussion paper, the Department received 215 submissions. 156 were public and have been published below.  Month Organisation/ Individual September Bhavin Bhudia September Web Safe Staff September Mick Motion-Wise September Armorlog September Simran Gambhir September Ontrac Global September Shaugn Vorster September MMC Research Pty. Ltd. September Victorian Centres Against Sexual Assault October SecureTrust October Imalee Munasinghe October Timothy Dutton October Jasmine Rodet October Paul Potter October NSW Privacy Commissioner October The University of Western Australia October David Lloyd October Advanced Cyber Security Engineering Research Centre, University of Newcastle October Cryptophoto.com Pty Ltd October Swinburne University of Technology October Resilience Outcomes Australia Pty Ltd October Queensland Government Cyber Security Unit October Cynch Security October Allens Hub for Technology, Law and Innovation October Internet Society October Huawei Technologies (Australia) October Huntsman Security October Alannah & Madeleine Foundation October Bruce Large October Queensland University of Technology October (ISC)2 October Australian Payments Council October Australian Catholic University October Cristina Cifuentes October REA Group October Australian Communications Consumer Action Network October CYAN October Ian Falconer October Commission for the Conservation of Antarctic Marine Living Resources October Trusted Impact Pty Ltd October Argo Pacific Pty Ltd October KnowBe4 October Australian Digital Inclusion Alliance October Superloop October University of Notre Dame Fremantle Campus October Optus Macquarie University Cyber Security Hub October Samuel Baartz October Koji Payne October Schneider Electric Australia October Vinod Krishnamoni October Paul Nielsen November ISACA November Information Technology Industry Council November RSA November Avantgard Pty LtdThe Crossed Swords wargrame: Catching NATO red teams with cyber deception, Cymmetria November Palo Alto Networks November Southern Cross University November Australian Academy of Technology and Engineering November AARNet Pty Ltd November University of Sydney November CSIRO November Financial Services - Information Sharing and Analysis Centre November South Australian Department for Innovation and Skills November Standards Australia November Gateway Network Governance Body Ltd November Unisys Australia November BSA | The Software Alliance November Australian Industry Group November IBM Australia November Sirviro Ripepi November Jeff Bleich Centre for the US Alliance in Digital Technology, Security & Governance November University of Queensland November IT Professionals Australia (The Association of Professional Engineers Scientists and Managers Australia) November Department of Transport Western Australia November Australian Investment Council November Ava Risk Group Limited November Oracle November ACS November Nyman Gibson Miralis November Portal Technology November GROW Super November Charles Sturt University November University of New South Wales November Australian National University College of Law November Afilias Australia Pty Ltd November Association of Australian Medical Research Institutes November Tata Consultancy Services November Queensland Health November Australian Small Business and Family Enterprise Ombudsman November Phil Burg November Australian National University, Research School of Computer Science November Australian Business Software Industry Association November Water Services Association of Australia November Australian Financial Markets Association November .au Domain Administration November Council of Australasian University Directors of Information Technology November AUCloud November Communications Alliance Ltd November Governance Institute of Australia November City of Gold Coast November IoT Alliance Australia November Australian Energy Market Operator November E-Health Queensland November Cyber Aware November MurdockCheng Legal Practice November Cooper Mills Lawyers November Water Corporation November Teron Labs November Customer Owned Banking Association November Risk Frontiers November WithYouWithMe November La Trobe University November Access Now November Wise Law November Cyber Institute ANU November Standards Australia November Preston de Guise November Noetic Group November ITS Australia November National Australia Bank November Tanya Cumpston November Central Queensland University November City of Joondalup November The Law Society of New South Wales November Universities Australia November Price Waterhouse Coopers November Monash University November Ernst and Young November Oceania Cyber Security Centre November elevenM Consulting Pty Ltd November IDCARE November Commonwealth Bank of Australia November The Group of Eight November The University of Melbourne November Deakin University November Telstra Corporation Limited November Sapien Cyber November Accenture November RMIT University November Digital Industry Group Inc November VeroGuard Systems November Office of the Australian Information Commissioner November NetThing November Transurban November Department of Premier and Cabinet - Tasmania November ANZ Bank November Microsoft November Deliotte Australia November Optus November Cyber Security Cooperative Research Centre November Lockheed Martin Australia November Cisco Systems Australia November Office of the Victorian Information Commissioner November AusNet Services November AustCyber November Curtin University"
5,https://www.homeaffairs.gov.au/reports-and-publications/submissions-and-discussion-papers/cyber-security-regulations-incentives,Strengthening Australia’s cyber security regulations and incentives,27/02/2023,"Submissions and discussion papers 2023-2030 Australian Cyber Security Strategy Discussion Paper Multicultural Framework Review  Terms of Reference (draft) Request for Feedback  Adult Migrant English Program future settings Request for Expression of Interest for the selection of English language tests for Australian visas Australia's Humanitarian Program 2022-23 Tablet press and encapsulator import control Next Steps to improve Australias settlement and integration of refugees Data Security Security Legislation Amendment (Critical Infrastructure Protection) Bill 2022 Exposure Draft Transport Security Amendment (Critical Infrastructure) Bill 2022 Exposure Draft Migration Amendment (Protecting Migrant Workers) Bill 2021 Exposure Draft Customs Amendment (Controlled Trials) Bill 2021 Strengthening Australias cyber security regulations and incentives Reform of the Adult Migrant English Program (AMEP) Australia's Humanitarian Program 2021-22 Engagement on critical infrastructure reforms Critical Technology Supply Chain Principles Protecting critical infrastructure and systems of national significance Creating a world class migration advice industry Business Innovation and Investment Program: Getting a better deal for Australia Voluntary Code of Practice Australias 2020 Cyber Security Strategy Australias Humanitarian Program 2019-20 Introducing a temporary visa for parents Review of customs licensing regimes Review of national arrangements for the protection and management of identity information Review of the Skilled Migration and Temporary Activity visa program discussion paper Strengthening the test for Australian Citizenship Tablet press import control Migrations agents instruments review report Strengthening Australias cyber security regulations and incentives On 13 July 2021, the Australian Government opened consultation on options for regulatory reforms and voluntary incentives to strengthen the cyber security of Australias digital economy. Submissions to the discussion paper, Strengthening Australias cyber security regulations and incentives, closed on 27 August 2021. Strengthening Australias cyber security regulations and incentives  Quick summary (377KB PDF) Strengthening Australias cyber security regulations and incentives  Full discussion paper (1529KB PDF) Submissions to the discussion paper can be viewed below. Why Government considered cyber security reforms The Government considered stronger cyber security regulations and incentives to support a growing digital economy and respond to a growing threat environment, particularly ransomware. This work formed part of Australias Cyber Security Strategy 2020 and also responded to recommendations of the 2020 Cyber Security Strategy Industry Advisory Panel. It complemented the Government's critical infrastructure reforms and the Review of the Privacy Act 1988. Issues for consultation The Government sought feedback on possible voluntary and regulatory measures in three areas: Setting clear cyber security expectations through cyber security standards for: corporate governance personal information and smart (internet of things) devices. Increasing transparency through: cyber security labelling for smart devices software vulnerability disclosure policies and health checks for small businesses. Protecting consumer rights through appropriate legal remedies for victims. Submissions to the discussion paper During the consultation period 13 July to 27 August 2021, we hosted 32 consultation events, including open forums, industry roundtables and bilateral discussions, and spoke to over 770 businesses, community groups and individuals on how to best strengthen the cyber security of Australias digital economy. In addition to these events, we invited interested stakeholders to provide a written submission to the discussion paper. As of 20 October 2021, the Department had received 143 submissions in response to the discussion paper. 121 are public and have been published below. AGIX (66KB PDF) AGL (46KB PDF) AIA Australia (204KB PDF) Amazon Web Services (758KB PDF) AmCham (923KB PDF) Arts Law Centre of Australia (169KB PDF) Association of Australian Medical Research Institute AAMRI (764KB PDF) Association of Superannuation Funds Australia ASFA (382KB PDF) Atlassian (202KB PDF) auDA (107KB PDF) AustCyber (451KB PDF) Australasian Cyber Law Institute ACLI (509KB PDF) Australian Banking Association (391KB PDF) Australian Communications Consumer Action Network ACCAN (807KB PDF) Australian Competition and Consumer Commission ACCC (294KB PDF) Australian Energy Regulator (157KB PDF) Australian Financial Markets Association AFMA (163KB PDF) Australian Industry Group (1168KB PDF) Australian Information Industry Association AIIA (201KB PDF) Australian Information Security Association AISA (1243KB PDF) Australian Institute of Company Directors AICD (210KB PDF) Australian Institute of Superannuation Trustees (166KB PDF) Australian Payments Network (321KB PDF) Australian Small Business & Family Enterprise Ombudsman (836KB PDF) Australian Unity (165KB PDF) Brand Hoff (96KB PDF) Brandon Butler (157KB PDF) Bruce Williams (2MB PDF) BugCrowd (101KB PDF) Business Council of Australia BCA (3MB PDF) Charles Sturt University (446KB PDF) Charter of Trust (363KB PDF) Chartered Accountants ANZ (51KB PDF) Charu Bhardwaj (241KB PDF) Cisco Australia (189KB PDF) Communications Alliance and Australian Mobile Telecommunications Association (215KB PDF) Consumer Electronics Suppliers Association & Air-Conditioning & Refrigeration Equipment Manufacturers Association of Aus (136KB PDF) Consumer Policy Research Centre CPRC (231KB PDF) Consumer Protection WA (11MB PDF) Council of Australasian University Directors of Information Technology CAUDIT (215KB PDF) Council of Small Business Organisations Australia COSBOA (310KB PDF) CPA Australia (237KB PDF) Crowdstrike (76KB PDF) CSIRO (184KB PDF) Cyber Readiness Institute (3MB PDF) Cyber Security Cooperative Research Centre (471KB PDF) CyberUnlocked (89KB PDF) CyberCX (788KB PDF) Cynch Security (978KB PDF) D8P (368KB PDF) DDLS Australia (326KB PDF) Digital Industry Group Inc DIGI (791KB PDF) Digtal Service Providers Australia and New Zealand DSPANZ (140KB PDF) eBay Australia (151KB PDF) Facebook (3MB PDF) ForgeRock (134KB PDF) Fortinet (422KB PDF) Forum of Australasian Security Executives (553KB PDF) Gateway Network Governance Body (858KB PDF) Generation Cyber (77KB PDF) Google (147KB PDF) Governance Institute of Australia (271KB PDF) IBM (188KB PDF) ICT Legal Consulting (485KB PDF) Ignite (249KB PDF) Information Technology Industry Council (481KB PDF) Innovative Research Universities (292KB PDF) Insurance Australia Group IAG (54KB PDF) Insurance Council Australia (166KB PDF) Internet Association of Australia (200KB PDF) Internet of Things Alliance Australia (368KB PDF) ioXt (113KB PDF) ISDefence (104KB PDF) Jeff Bleich Centre for the US Alliance in Digital Technology, Security & Governance and Flinders University (2MB PDF) John Uhlmann (482KB PDF) Kaspersky (713KB PDF) Khoa Duong (5MB PDF) Law Institute of Victoria (2MB PDF) L'Oral Australia (106KB PDF) McAfee Enterprise (561KB PDF) McLellan, Porter, Robinson and Slade (359KB PDF) Medical Software Industry Association MSIA (2MB PDF) MIGA (367KB PDF) Mimecast (121KB PDF) MYOB (1212KB PDF) National Retail Association (84KB PDF) NSW Young Lawyers (331KB PDF) Oceania Cyber Security Centre (5MB PDF) Office of Australian Information Commissioner (520KB PDF) Office of Victorian Information Commissioner (357KB PDF) Okta (272KB PDF) Palo Alto Networks (168KB PDF) Prashant Singh (1376KB PDF) PwC (7MB PDF) Ranjeeta Rani (706KB PDF) Rapid7 (206KB PDF) REA Group (173KB PDF) Responsible Wagering Australia (821KB PDF) SAP Australia (132KB PDF) School of Computer Science, Queensland University of Technology (59KB PDF) Secure Forte (1082KB PDF) Sekar Langit (741KB PDF) ServiceNow (250KB PDF) Shooting Industry Foundation of Australia (181KB PDF) Standards Australia (297KB PDF) Tanium (186KB PDF) Tata Consultancy Services (173KB PDF) Technology Council of Australia (114KB PDF) TechnologyOne (291KB PDF) Telstra (335KB PDF) University of Melbourne (498KB PDF) University of Queensland UNSW Allens Hub for Technology, Law and Innovation; IFCYBER; SECedu; Australian Society for Computers & Law (527KB PDF) US Chamber of Commerce (281KB PDF) Vaultron (1037KB PDF) VeroGuard Pty Ltd (219KB PDF) Warren, Mann and Harkin (185KB PDF) Water Services Association of Australia (634KB PDF) Wipro (855KB PDF) Wright, Lindsay, Wilkinson, Fraser and Collings (1112KB PDF) Xero (198KB PDF) Further Information For further information follow us on Twitter @AUCyberStrategy or email us at techpolicy@homeaffairs.gov.au"
6,https://www.homeaffairs.gov.au/reports-and-publications/submissions-and-discussion-papers/data-security,Uplifting data security across Australia,06/09/2022,"Submissions and discussion papers 2023-2030 Australian Cyber Security Strategy Discussion Paper Multicultural Framework Review  Terms of Reference (draft) Request for Feedback  Adult Migrant English Program future settings Request for Expression of Interest for the selection of English language tests for Australian visas Australia's Humanitarian Program 2022-23 Tablet press and encapsulator import control Next Steps to improve Australias settlement and integration of refugees Data Security Security Legislation Amendment (Critical Infrastructure Protection) Bill 2022 Exposure Draft Transport Security Amendment (Critical Infrastructure) Bill 2022 Exposure Draft Migration Amendment (Protecting Migrant Workers) Bill 2021 Exposure Draft Customs Amendment (Controlled Trials) Bill 2021 Strengthening Australias cyber security regulations and incentives Reform of the Adult Migrant English Program (AMEP) Australia's Humanitarian Program 2021-22 Engagement on critical infrastructure reforms Critical Technology Supply Chain Principles Protecting critical infrastructure and systems of national significance Creating a world class migration advice industry Business Innovation and Investment Program: Getting a better deal for Australia Voluntary Code of Practice Australias 2020 Cyber Security Strategy Australias Humanitarian Program 2019-20 Introducing a temporary visa for parents Review of customs licensing regimes Review of national arrangements for the protection and management of identity information Review of the Skilled Migration and Temporary Activity visa program discussion paper Strengthening the test for Australian Citizenship Tablet press import control Migrations agents instruments review report Uplifting data security across Australia   Data security Data definition National Data Security Action Plan Discussion paper  a call for views Consultation and Submissions Further questions Data security Data security refers to protecting the information collected, processed, and stored on digital systems and networks. Data has never been more valuable. It is an increasingly important driver of growth in our modern economy. Whether it is data about individuals, businesses or government, data underpins how we communicate, conduct business, and receive services. At the same time it can be stolen, manipulated or used as a weapon by foreign adversaries and criminals. Australia is harnessing opportunities created by digital technologies and growing the digital economy. It is essential that appropriate data controls and accountability mechanisms are in place to enable a prosperous and secure Australia. This includes the need for a consistent whole-of-economy approach to data security. The Australian Government has delivered strong actions in recent years to meet this evolving digital ecosystem. We acknowledge the valuable feedback that state and territory government agencies and industry have provided throughout these processes. Data definition Data is any information in a form capable of being communicated, analysed or processed (whether by an individual or by computer or other automated means). Data can include personal information, which is information about an individual or an individual who is reasonably identifiable  such as their basic contact details, records generated through their interaction with services or the internet, or information about their biometrics (physical or behavioural characteristics). Data can also include population-level data, such as demographics. Data can include information that can be used to describe location (such as geospatial reference details) or the environment (such as biodiversity or the weather). It can also refer to the information captured or generated by the networks of sensors that make up the Internet of Things. Data about systems can include administrative records about businesses and public services. National Data Security Action Plan The development of Australias first National Data Security Action Plan (Action Plan) was announced by the Prime Minister, the Hon Scott Morrison, on 6 May 2021 as part of the Digital Economy Strategy. The Action Plan will define a consistent set of national, whole-of-economy expectations for data security. The Action Plan, as a driver of digital security, is a critical trust and protection measure in the Australian Data Strategy (the Strategy). Released on 14 December 2021, the Strategy sets out a long-term vision to create a national ecosystem of data that is accessible, reliable and relevant. The Strategy has three main tenets  maximising the value of data, trust and protection, and enabling data use. The Strategy is an important step in unlocking the value of data across the economy. To support the Strategy, the Action Plan will take a phased approach to strengthen and coordinate data security policy settings across the Australian Government, state and territory governments and the broader economy. Discussion paper  a call for views On 6 April 2022 the Department of Home Affairs released a discussion paper for consultation on the development of the National Data Security Action Plan. The discussion paper detailed the nature of the evolving threat environment, laid out existing and developing mechanisms to strengthen resilience, and tested proposed options to address identified gaps. The discussion paper sought to: explore with industry, and state and territory governments, on how the government and business can position itself to meet data security expectations, now and into the future consider how data security responsibilities are best assigned to keep Australians data safe open discussion on how Government, businesses and individuals can share responsibility for data security in the future to get the best outcome for everyone. See the National Data Security Action Plan discussion paper (972KB PDF). Consultation and Submissions From 6 April to 24 June 2022, the Department undertook consultation and sought submissions on the Action Plan. During this consultation period, the Department held town halls, targeted roundtables and bilateral meetings, engaging with key stakeholders from industry, international partners and state and territory governments. The Department received 81 submissions in response to the Action Plan discussion paper. Stakeholders also provided the Department with links and references to submissions provided to the Australian Government through earlier complimentary consultations, including the Privacy Act Review and critical infrastructure reforms. Publicly available submissions on the discussion paper are available below: ACT Government (540KB PDF) Advanced Cyber Security Research Centre  University of Newcastle (128KB PDF) Amazon Web Services (216KB PDF) Atlassian (189KB PDF) Australasian Higher Education Cybersecurity Service (172KB PDF) Australian Banking Association (355KB PDF) Australian Charities and Not-for-profits Commission (255KB PDF) Australian Communications Consumer Action Network (191KB PDF) Australian Computer Society Inc. (220KB PDF) Australian Financial Markets Association (139KB PDF) Australian Industry Group (240KB PDF) Australian Institute of Company Directors (221KB PDF) Australian Payments Network (308KB PDF) Australian Private Hospitals Association (140KB PDF) Australian Research Data Commons (1022KB PDF) Australian Small Business and Family Enterprise Ombudsman (272KB PDF) BSA | The Software Alliance (201KB PDF) Chartered Accountants Australia & New Zealand (200KB PDF) CHOICE  The Australian Consumers Association (103KB PDF) CISCO (234KB PDF) Cleard Life Vetting Agency (2MB PDF) Communications Alliance CPA Australia (232KB PDF) CSIRO (420KB PDF) Cybersecurity Coalition (90KB PDF) Department of Premier & Cabinet, South Australia (264KB PDF) Department of Premier & Cabinet, Tasmania (295KB PDF) Digital Industry Group Inc. (90KB PDF) Digital Service Providers Australia & New Zealand (195KB PDF) Dr Gavin Mount & David Beesley (275KB PDF) Emerging Payments Association Asia (204KB PDF) Engineers Australia (436KB PDF) Gateway Networks Governance Body (692KB PDF) Google (143KB PDF) Grant Williams (468KB PDF) Imperva Australia Pty Ltd (121KB PDF) Information Technology & Innovation Foundation (322KB PDF) Information Technology Industry Council (265KB PDF) Internet Association of Australia (71KB PDF) Law Council of Australia (760KB PDF) Local Government Association of the Northern Territory (224KB PDF) Local Government Association of Tasmania (224KB PDF) Meta (158KB PDF) Microsoft (244KB PDF) Northern Territory Government (256KB PDF) Office of the Victorian Information Commissioner (354KB PDF) Optus (746KB PDF) Palo Alto Networks (221KB PDF) Records & Information Management Professionals (132KB PDF) Royal Australian College of General Practitioners (468KB PDF) Science & Technology Australia (242KB PDF) Tech Council of Australia (195KB PDF) Telstra (223KB PDF) The Group of Eight Australia (423KB PDF) The Office of the Australian Information Commissioner (262KB PDF) The University of NSW Allens Hub (291KB PDF) The University of Queensland (149KB PDF) The University of Sydney (252KB PDF) Vault Cloud (177KB PDF) Victorian Chamber of Commerce and Industry (215KB PDF) Visa (144KB PDF) Water Services Association of Australia (410KB PDF). Eighteen submissions remain confidential and are not publicly available. Engagement with industry, and state and territory governments will remain ongoing as the Department continues to develop and implement the Action Plan. Further questions If you have any questions on consultation to date, or any other aspect of the Action Plan, please email datasecurityandstrategy@homeaffairs.gov.au."
7,https://www.homeaffairs.gov.au/reports-and-publications/submissions-and-discussion-papers/2023-2030-australian-cyber-security-strategy-discussion-paper/cyber-security-strategy-discussion-form,2023-2030 Australian Cyber Security Strategy Discussion Paper form,27/02/2023,"2023-2030 Australian Cyber Security Strategy Discussion Paper form This webform is to make a written submission to the 2023-2030 Australian Cyber Security Strategy discussion paper. Submissions to the discussion paper close on 15 April 2023. For further information, email us at auscyberstrategy@homeaffairs.gov.au  (*) denotes mandatory fields. Full name Email On behalf of an organisation? Yes No Are you making a public submission? Yes No All public submissions will be published on the Strategy website. Upload your submission Note: Maximum file size: 10MB. Only PDFs are accepted. File Name Size Drop files to attach, or browse. Submit"
8,https://www.protectivesecurity.gov.au/news/policy-update-security-governance,Policy update – security governance,22/12/2022,Policy update  security governance
9,https://www.protectivesecurity.gov.au/news/policy-amendment-personnel-security,Policy amendment – personnel security,22/12/2022,Policy amendment  personnel security
