country_name,no_of_links,url
Australia,4,"['https://www.homeaffairs.gov.au/about-us/our-portfolios/cyber-security/expert-advisory-board', 'https://www.homeaffairs.gov.au/reports-and-publications/submissions-and-discussion-papers/2023-2030-australian-cyber-security-strategy-discussion-paper', 'https://minister.homeaffairs.gov.au/ClareONeil/Pages/expert-advisory-board-appointed-as-development.aspx', 'https://www.cyber.gov.au/about-us/news/joint-cybersecurity-secure-by-design-guide']"
,,
Belgium,6,"['https://www.brusselstimes.com/203570/belgium-to-spend-millions-improving-national-cyber-security', 'https://www.prnewswire.com/news-releases/partnership-between-kingdom-of-belgium-and-recorded-future-to-make-belgium-the-safest-cyber-country-in-europe-301729189.html', 'https://www.weforum.org/agenda/2022/12/cybersecurity-european-union-nis/', 'https://www.reuters.com/article/usa-security-cyber-policy-prism-idINDEE95702920130608', 'https://www.realinstitutoelcano.org/en/analyses/eu-declarations-ddos-attacks-and-the-erosion-of-norms-and-rules-for-state-behaviour-in-cyberspace/', 'https://www.weforum.org/agenda/2022/09/new-european-union-cybersecurity-proposal-takes-aim-at-cybercrimes/']"
,,
Canada,11,"['https://www.canada.ca/en/public-safety-canada/news/2022/08/government-announces-support-for-canadas-preparedness-against-cyberattacks.html', 'https://www.canada.ca/en/public-safety-canada/news/2023/02/government-announces-new-funding-for-research-projects-to-enhance-cyber-security.html', 'https://www.canada.ca/en/public-safety-canada/news/2022/06/government-introduces-new-legislation-to-protect-canadas-cyber-security0.html', 'https://www.cyber.gc.ca/en/news-events/communications-security-establishment-cse-and-partners-issue-joint-guide-shifting-balance-cybersecurity-risk-technology-product-safety', 'https://www.canada.ca/en/global-affairs/news/2020/10/canada-expresses-concern-over-pattern-of-malicious-cyber-activity-by-russian-military-intelligence.html', 'https://ccdcoe.org/incyder-articles/osce-expands-its-list-of-confidence-building-measures-for-cyberspace-common-ground-on-critical-infrastructure-protection/', 'https://www.canada.ca/en/global-affairs/news/2020/02/canada-condemns-russias-malicious-cyber-activity-targeting-georgia.html', 'https://www.canada.ca/en/global-affairs/news/2020/07/canada-welcomes-european-unions-announcement-of-new-cyber-sanctions-listings.html', 'https://www.canada.ca/en/global-affairs/news/2020/04/statement-on-malicious-cyber-threats-to-the-health-sector.html', 'https://www.canada.ca/en/news/archive/2015/06/statement-minister-blaney-today-cyber-attack.html', 'https://www.canada.ca/en/global-affairs/news/2018/10/canada-identifies-malicious-cyber-activity-by-russia.html']"
,,
Hong Kong,2,"['https://www.globalcompliancenews.com/category/submenue/cyber-security/', 'https://www.globalcompliancenews.com/2022/09/14/https-insightplus-bakermckenzie-com-bm-data-technology-hong-kong-updates-to-cybercrime-and-cybersecurity-laws_09092022/']"
,,
Singapore,7,"['https://www.tech.gov.sg/media/technews/how-the-government-chief-information-security-officer-keeps-cyberspace%20secure?utm_medium=recommender_3&utm_source=aHR0cHM6Ly93d3cudGVjaC5nb3Yuc2cvY2FwYWJpbGl0eS1jZW50cmUtY3Nn&utm_content=aHR0cHM6Ly93d3cudGVjaC5nb3Yuc2cvbWVkaWEvdGVjaG5ld3MvaG93LXRoZS1nb3Zlcm5tZW50LWNoaWVmLWluZm9ybWF0aW9uLXNlY3VyaXR5LW9mZmljZXIta2VlcHMtY3liZXJzcGFjZSBzZWN1cmU=', 'https://www.tech.gov.sg/media/technews/how-the-government-chief-information-security-officer-keeps-cyberspace%20secure-part2?utm_medium=recommender_4&utm_source=aHR0cHM6Ly93d3cudGVjaC5nb3Yuc2cvY2FwYWJpbGl0eS1jZW50cmUtY3Nn&utm_content=aHR0cHM6Ly93d3cudGVjaC5nb3Yuc2cvbWVkaWEvdGVjaG5ld3MvaG93LXRoZS1nb3Zlcm5tZW50LWNoaWVmLWluZm9ybWF0aW9uLXNlY3VyaXR5LW9mZmljZXIta2VlcHMtY3liZXJzcGFjZSBzZWN1cmUtcGFydDI=', 'https://www.mas.gov.sg/news/media-releases/2019/banque-de-france-and-monetary-authority-of-singapore-strengthen-financial-cooperation', 'https://www.mas.gov.sg/who-we-are/mas-advisory-panels-and-committees/cyber-security-advisory-panel', 'https://www.mas.gov.sg/news/media-releases/2021/us-treasury-and-mas-finalise-a-memorandum-of-understanding-on-cybersecurity-cooperation', 'https://www.mas.gov.sg/news/speeches/2019/speech-at-launch-of-cyber-risk-management-projects-shen-scenario-report', 'https://www.mas.gov.sg/news/speeches/2019/building-cyber-resilience-across-the-financial-sector']"
,,
